Themes + Assets;Rank;Year;Consensus Thesis;Tesis Ex Post
BASE CASE;1;2020;The base case for 2020 anticipates a modest global growth pickup around 2.5%-2.7%, supported by stabilizing manufacturing and accommodative monetary and fiscal policies. Investors should expect mid-single-digit returns in equities, with fixed income offering low but positive yields amid subdued inflation pressures near 1.5%-2%. Risks include renewed U.S.-China trade tensions, political uncertainty around the U.S. elections, and potential liquidity constraints. While recession probability remains below 20%, volatility is likely to rise, warranting a cautious, diversified approach. Emphasizing selective exposure to early-cycle sectors, emerging markets, and credit opportunities, investors should balance risk with defensive positioning to navigate a challenging but investable environment.;"ACTUAL OUTCOME 2020: The base case was COMPLETELY OVERTURNED by the COVID-19 pandemic. Global growth did NOT pick up; instead, the world economy contracted by ~3.3% (sharpest since the Great Depression). Equities did NOT deliver mid-single-digit returns; after a -34% crash in March, the S&P 500 staged a record recovery to end +18.4% (total return). Inflation remained low at 1.4% but was volatile. Recession probability was 100% as the global economy entered a deep but short recession in H1. Volatility was EXTREME, with the VIX averaging ~29 (not 12) and peaking at a record 82.7 in March. The ""investable environment"" was defined by unprecedented central bank and fiscal intervention rather than stabilizing manufacturing."
GROWTH;2;2020;The global economy is expected to experience moderate growth in 2020, with consensus forecasts around 2.4% to 3.1%, reflecting a continuation of subdued expansion rather than a recession. The U.S. is projected to grow between 1.6% and 2.5%, while China’s growth is anticipated to slow to approximately 4.5%-5.8%. Emerging markets may see a modest rebound supported by easing monetary policies. Key risks include renewed trade tensions, geopolitical uncertainties, and limited fiscal stimulus, which could tilt growth downward. Investors should favor selective risk assets such as emerging market equities and high-yield debt, while maintaining caution on defensive sectors and government bonds amid low interest rates and persistent policy uncertainty.;"ACTUAL OUTCOME 2020: Growth forecasts were entirely wrong due to the pandemic. Global GDP contracted by ~3.3% (vs. +2.4-3.1% forecast). The U.S. economy shrank by 3.5% (vs. +1.6-2.5% growth forecast). China was the only major economy to grow, but at 2.3%, it was far below the 4.5-5.8% forecast. Emerging markets did not see a modest rebound; they faced severe contractions and capital outflows. The downturn was the sharpest in history, followed by a massive policy-driven recovery in H2. The ""subdued expansion"" turned into a ""pandemic-induced collapse"" and subsequent ""K-shaped recovery"" supported by tech and stay-at-home sectors."
RECESSION;3;2020;The consensus outlook for 2020 anticipates moderate global growth around 2.4%-3.1%, with the U.S. expanding near 1.6% and China slowing to approximately 5.8%. While a recession is not the base case, risks have increased due to ongoing trade tensions, political uncertainty, and subdued business investment. The probability of a U.S. recession is estimated below 35%, with some institutions highlighting risks post-2020 elections. Central banks are expected to maintain accommodative policies, supporting markets, but limited fiscal stimulus and geopolitical risks could weigh on growth. Investors should maintain diversified portfolios, balancing defensive fixed income with selective equity exposure, and remain vigilant to shifts in trade dynamics and policy responses.;"ACTUAL OUTCOME 2020: A global recession DID occur, triggered by the COVID-19 pandemic, making the ""not the base case"" assessment incorrect. The U.S. officially entered a recession in February 2020, ending the longest expansion in history. GDP saw a record annualized drop of 31.4% in Q2. While trade tensions were a risk, the actual catalyst was a global health crisis. Central banks and governments responded with unprecedented stimulus (CARES Act, zero rates, massive QE), which prevented a prolonged depression and supported a rapid market recovery. The recession was the deepest but also one of the shortest on record for the U.S."
MONETARY POLICY;4;2020;In 2020, central banks are expected to maintain accommodative monetary policies with the U.S. Federal Reserve likely to cut rates by 25-50 basis points, while the ECB may implement additional easing including a 30 basis point deposit rate cut and increased QE. Global growth should modestly improve to around 2%, supported by easy financial conditions and selective fiscal stimulus, particularly in Europe. Inflation is projected to remain subdued near 1-2%, limiting scope for aggressive tightening. Key risks include renewed trade tensions, political uncertainty around U.S. elections, and potential volatility in interest rates, which could see 10-year U.S. Treasury yields fluctuate between 1.5% and 2.5%. Investors should favor duration and high-quality credit while maintaining caution on liquidity and credit risk amid a low yield environment.;"ACTUAL OUTCOME 2020: Monetary policy was FAR MORE aggressive than predicted. The Fed did not just cut by 25-50bps; it slashed rates by 150bps to the zero bound (0.00-0.25%) in two emergency meetings in March. The Fed also launched unlimited QE and numerous emergency lending facilities. The ECB maintained negative rates and significantly expanded its Pandemic Emergency Purchase Programme (PEPP). 10-year U.S. Treasury yields fell to an all-time low of ~0.5% in August, ending the year near 0.9%, well below the 1.5-2.5% forecast range. The ""low yield environment"" became a ""zero/negative yield environment"" across much of the developed world."
NEGATIVE RATES;5;2020;In 2020, investors face a persistently low yield environment with negative rates entrenched in Europe and Japan, where negative-yielding debt remains elevated, while U.S. Treasury yields offer modest positive returns around 1.7%-1.8%. Fixed income returns are expected to moderate, with forecasts in the 1.0%-2.0% range, reflecting subdued risk premia and ongoing central bank accommodation. The U.S. is unlikely to adopt negative rates this year, but global liquidity risks and crowded trades warrant caution. Equities may see selective opportunities, particularly in Europe, supported by easing Brexit concerns and asset reallocations away from negative-yielding bonds. Key risks include potential volatility from shifts in interest rates and policy surprises, underscoring the need for quality credit exposure and a balanced duration approach.;"ACTUAL OUTCOME 2020: Negative rates remained entrenched in Europe and Japan, and the pool of negative-yielding debt hit a record $18 trillion in December. U.S. Treasury yields did not stay at 1.7-1.8%; they crashed to record lows (10Y at 0.51% in August). While the U.S. did not adopt negative nominal rates, ""real"" rates (inflation-adjusted) fell deep into negative territory. Fixed income returns were much higher than 1-2% as yields fell (long-term Treasuries returned ~18%). The ""asset reallocation"" into equities was supercharged by the ""TINA"" (There Is No Alternative) narrative as yields vanished globally."
INFLATION;6;2020;The consensus base case for 2020 anticipates subdued global inflation averaging around 1-2%, with U.S. inflation modestly rising to approximately 2.5% amid tight labor markets and wage pressures. Global GDP growth is expected to remain below post-crisis norms, near 3.1%, reflecting ongoing trade uncertainties and structural headwinds. Central banks are likely to maintain an easing bias, with limited rate cuts anticipated, particularly in emerging markets. Key risks include potential upside inflation surprises from tariff-driven cost pressures and geopolitical tensions, alongside downside growth risks if trade conflicts escalate. Investors should consider inflation-linked bonds and selective high-yield exposure as portfolio diversifiers, while maintaining cautious equity positions given the mixed growth-inflation dynamics.;"ACTUAL OUTCOME 2020: Inflation dynamics were highly volatile. Initially, the pandemic caused a deflationary shock as demand collapsed; U.S. CPI fell to 0.1% in May. However, by year-end, inflation began to stir due to supply chain disruptions and massive stimulus, ending at 1.4%. Global GDP growth was -3.3%, not 3.1%. Central banks did not just have an ""easing bias""; they implemented the most aggressive easing in history. Inflation-linked bonds (TIPS) performed exceptionally well in H2 as inflation expectations rebounded from March lows. The ""mixed growth-inflation dynamics"" were dominated by the pandemic's supply and demand shocks."
FISCAL;7;2020;In 2020, fiscal policy will play a supportive but limited role in sustaining global growth, which is expected to improve modestly to around 2.5%-3.0% from 2019 levels. The U.S. may see incremental fiscal stimulus, particularly linked to the presidential election, with potential tax cuts or infrastructure spending boosting growth by 0.2-0.3%. Europe faces structural constraints, with fiscal expansion unlikely to exceed 0.2% of GDP, though Germany may deliver targeted stimulus. Emerging markets retain some fiscal and monetary flexibility, supporting local currency bonds and equities. Key risks include trade tensions and political uncertainty, which could delay or reduce fiscal measures. Investors should favor cyclical sectors and income-generating assets in regions with credible fiscal backing while monitoring policy shifts around the U.S. election.;"ACTUAL OUTCOME 2020: Fiscal policy played a MASSIVE and UNPRECEDENTED role, far exceeding the ""limited role"" predicted. The U.S. passed the $2.2 trillion CARES Act in March, followed by a $900 billion package in December, representing over 15% of GDP (vs. 0.2-0.3% boost forecast). Europe launched the �750 billion ""NextGenerationEU"" recovery fund, a historic step toward fiscal integration. Germany abandoned its ""black zero"" budget policy for massive stimulus. This fiscal ""bazooka"" was critical in preventing a total economic collapse and supporting household incomes during lockdowns. It was the most significant fiscal intervention since WWII."
ELECTIONS;8;2020;The 2020 U.S. presidential election is expected to drive elevated market volatility, with equity moves around key dates like Super Tuesday and the general election potentially ranging from 1.5% to 3%. The base case favors a Trump or centrist Democrat victory, supporting modest equity gains of 6%-8% in 2020 and a softer dollar amid easing trade tensions. However, risks remain elevated, particularly if progressive candidates like Warren or Sanders gain traction, which could pressure U.S. equities and corporate earnings by up to 7%. Investors should prepare for a volatile environment with potential sector rotations and increased sensitivity to fiscal policy, trade developments, and regulatory shifts, while maintaining diversified exposure across U.S., EM, and Japanese equities.;"ACTUAL OUTCOME 2020: Joe Biden won the presidency, and Democrats eventually gained a slim majority in the Senate (the ""Blue Wave"" that markets initially feared). Volatility was high around the election, but the market rallied strongly in November (+10.8% for S&P 500) due to vaccine breakthroughs (Pfizer/Moderna) and the clarity of the outcome. The ""progressive candidate"" risk (Sanders/Warren) faded early in the primaries. The dollar did weaken (~7% decline in the DXY index), supporting EM and commodities. Sector rotations into ""Value"" and ""Cyclicals"" finally began in Q4 after the vaccine news, but 2020 remained the year of ""Growth"" dominance."
POLITICS;9;2020;In 2020, persistent political uncertainty will continue to weigh on global growth, expected to slow to around 2-2.5%, with trade tensions, particularly between the U.S. and China, remaining a key risk. The U.S. presidential election introduces volatility, with equity moves of 1.5-3% around key dates such as Super Tuesday and the general election. European peripheral spreads may widen modestly but present selective opportunities amid political fragility. Currency markets will be sensitive to political developments, with the yen likely to serve as a diversifier. Investors should position for bouts of volatility and maintain diversified exposure to emerging Asia, European peripherals, and quality cyclicals while monitoring risks including trade escalation, election outcomes, and geopolitical flashpoints.;"ACTUAL OUTCOME 2020: Political uncertainty was dominated by the pandemic response and the U.S. election. Global growth did not slow to 2%; it collapsed to -3.3%. The U.S. election drove significant volatility, but the ""vaccine pivot"" in November was a larger driver of the year-end rally. The Yen did serve as a safe haven during the March crash. Emerging Asia (especially China, Taiwan, Korea) outperformed due to better virus control and tech exposure. Geopolitical flashpoints (like US-Iran in January) were quickly overshadowed by the virus. The ""fragility"" of European peripherals was mitigated by the ECB's massive PEPP program and the EU recovery fund."
TRADE;10;2020;The base case for 2020 anticipates a modest global growth recovery around 2.0%, supported by a partial U.S.-China trade deal and stabilizing emerging markets, with China’s growth easing to approximately 5.8%. Policy support from monetary and fiscal measures is expected to sustain domestic demand, limiting recession risks to below 20%. The U.S. economy is forecast to slow to near 1.5% growth amid political uncertainties, including the presidential election. Key risks include a potential escalation of trade tensions that could derail investment and push global growth below 2%, and volatility linked to U.S. political developments. Investors should favor quality companies with strong balance sheets, maintain tactical exposure to emerging Asia, and prepare for intermittent market volatility driven by trade and geopolitical headlines.;"ACTUAL OUTCOME 2020: Trade issues were overshadowed by the pandemic. The ""Phase One"" deal was signed in January, but China fell short of purchase targets due to COVID-19. Global trade collapsed in H1 but recovered faster than expected in H2 as demand shifted to goods. China's growth was 2.3% (not 5.8%). The U.S. economy shrank 3.5% (not 1.5% growth). Recession risk was 100%. Market volatility was driven by virus headlines and vaccine news rather than trade disputes. Quality companies with strong digital presence (Big Tech) outperformed massively, while ""emerging Asia"" tactical exposure was mixed depending on virus management."
VOLATILITY;11;2020;In 2020, markets are expected to experience elevated volatility with the VIX likely averaging around 12 and episodic spikes reaching 15-25, driven by political events including the U.S. elections and ongoing trade tensions. Equity returns are projected to be moderate, with the S&P 500 targeting mid-single-digit gains near 3,400, while bond markets face risks from low yields and liquidity concerns. Currency volatility remains subdued but vulnerable to shifts in policy and economic divergence, particularly impacting EM currencies. Investors should prioritize diversification, incorporating short-duration fixed income, liquid alternatives, and volatility strategies to manage risk. Key uncertainties include trade policy escalation and economic growth slowing, which could trigger sharper market corrections up to 10%.;"ACTUAL OUTCOME 2020: Volatility was EXTREME and far exceeded forecasts. The VIX did not average 12; it averaged ~29.3 for the year. It peaked at an all-time record of 82.69 on March 16, surpassing 2008 levels. The S&P 500 did not just target 3,400; it crashed to 2,237 in March before rallying to end the year at 3,756 (+18.4% total return). Market corrections were not ""up to 10%"" but reached -34% in just 23 trading days. Diversification into traditional bonds helped, but the real protection came from the ""Fed Put"" and massive fiscal support. 2020 was one of the most volatile years in stock market history."
COMPANIES;12;2020;In 2020, corporate earnings are expected to stabilize and modestly improve, with consensus estimates projecting 5%-8% growth supported by easing trade tensions and accommodative monetary policy. Equity markets are likely to deliver moderate returns, with S&P 500 targets around 3,400-3,425, reflecting a forward P/E expansion to approximately 19x. Quality companies with strong balance sheets and dividend-paying stocks remain favored for resilience amid late-cycle risks. However, risks persist including elevated corporate leverage, rising labor costs outpacing pricing, and political uncertainties such as U.S. election outcomes and potential tax policy shifts. Investors should adopt a balanced approach, combining high-quality growth exposure with value and dividend strategies to navigate volatility and capture selective opportunities.;"ACTUAL OUTCOME 2020: Corporate earnings did not ""stabilize and modestly improve"" initially; they collapsed in H1 (S&P 500 earnings fell ~15% for the year). However, the S&P 500 ended at 3,756, far above the 3,400 target, driven by massive P/E expansion to ~22x (not 19x). The market became highly bifurcated: ""Stay-at-home"" tech giants saw record profits and stock gains, while travel, energy, and traditional retail faced existential crises. Corporate leverage spiked as firms tapped credit lines and issued record debt to survive. Dividend strategies underperformed as many firms cut or suspended payouts to preserve cash."
BREXIT;13;2020;The base case for 2020 anticipates a ratified Brexit Withdrawal Agreement by January, supporting a modest UK growth of around 1.2% and a boost to sterling and gilt yields. European equities may see multiple expansions, driven by reduced Brexit uncertainty and a shift from negative-yielding bonds, with eurozone growth expected near 1%. Global markets benefit from easing trade tensions and lower hard Brexit risks, contributing to a gradual dollar decline. However, risks remain from potential harder Brexit outcomes and escalating U.S. political tensions later in the year. Investors should maintain core allocations to resilient U.S. mega caps and tactically increase exposure to value sectors, particularly financials, positioned to gain from this evolving backdrop.;"ACTUAL OUTCOME 2020: Brexit was ratified in January as predicted, but the ""transition period"" was a year of tense negotiations amid the pandemic. A ""Trade and Cooperation Agreement"" was reached at the last minute on Dec 24, 2020, avoiding a ""no-deal"" cliff edge. UK growth was -9.9% (worst in 300 years) due to COVID-19, not +1.2%. Sterling was volatile, ending the year higher against the dollar but flat against the euro. Eurozone growth was -6.6%. The ""shift from negative-yielding bonds"" supercharged equities in H2. Resilient U.S. mega-caps (Big Tech) were the primary winners, while the ""value rotation"" only started in very late 2020."
RISKS;14;2020;The base case for 2020 anticipates global GDP growth settling around 2.5%-2.7%, supported by moderate earnings growth and continued central bank accommodation. However, risks remain skewed to the downside, with a 20%-30% probability of a market correction driven by renewed trade war escalation, political uncertainties including the U.S. election, and Brexit-related disruptions. Inflation may surprise to the upside, particularly in the U.S., potentially pressuring bond-equity correlations and valuations. Investors should adopt a balanced approach, favoring undervalued cyclical sectors in the U.S. and high-quality dividend payers in Europe, while maintaining defensive positioning in credit and being mindful of interest rate volatility. Elevated volatility and political risks warrant cautious portfolio construction in 2020.;"ACTUAL OUTCOME 2020: The ""downside risks"" materialized in the form of a ""Black Swan"" event (COVID-19) that was not in the consensus list. The market correction was not 20-30% probability; it was 100% certainty, reaching -34%. Trade wars and Brexit became secondary to the health crisis. Inflation did not surprise to the upside initially but began rising late in the year. The ""balanced approach"" was tested as correlations spiked in March, but the subsequent recovery favored ""Growth"" and ""Tech"" over ""Cyclicals"" and ""Value"" for most of the year. Defensive positioning in credit was vital during the March liquidity crunch before the Fed stepped in."
LIQUIDITY;15;2020;In 2020, investors should balance opportunities in private market assets, which can offer 5-7% higher returns and diversification benefits, particularly in infrastructure, against evolving liquidity challenges in public credit markets. Euro investment grade bonds, especially BBB-rated and financials, remain supported by strong technicals, with spreads expected to range between 100-150bps, while U.S. corporate bonds warrant caution due to macro uncertainties and less supportive monetary conditions. Liquidity risks are elevated given tighter post-2008 regulations, suggesting a focus on high-quality carry and rigorous liquidity assessment. Currency markets may see a modest 3-5% dollar weakening, benefiting EM currencies, though risks from idiosyncratic factors and trade tensions persist. A measured, quality-focused approach is advised amid these dynamics.;"ACTUAL OUTCOME 2020: Liquidity faced a catastrophic ""dash for cash"" in March 2020, where even Treasury markets saw dysfunction. This required the Fed to intervene with ""unlimited"" liquidity support. Private market valuations were initially hit but recovered as low rates drove investors back to ""search for yield."" Euro IG spreads spiked to ~240bps in March before the ECB's PEPP crushed them back to pre-pandemic levels. The dollar did not just weaken 3-5%; it saw a massive spike in March (liquidity squeeze) followed by a ~12% decline from the peak to year-end. Quality-focused approaches were essential, but ""Fed-supported liquidity"" was the ultimate market driver."
