Dates;DXY;Median;High;Low
2022-11-11;106.292;;;
2022-11-18;106.930;;;
2022-11-25;105.959;;;
2022-12-02;104.545;;;
2022-12-09;104.810;;;
2022-12-16;104.701;;;
2022-12-23;104.314;;;
2022-12-30;103.522;;;
2023-01-06;103.879;;;
2023-01-13;102.204;;;
2023-01-20;102.012;;;
2023-01-27;101.927;;;
2023-02-03;102.915;;;
2023-02-10;103.630;;;
2023-02-17;103.862;;;
2023-02-24;105.214;;;
2023-03-03;104.521;;;
2023-03-10;104.576;;;
2023-03-17;103.708;;;
2023-03-24;103.116;;;
2023-03-31;102.506;;;
2023-04-07;102.092;;;
2023-04-14;101.552;;;
2023-04-21;101.822;;;
2023-04-28;101.659;;;
2023-05-05;101.214;;;
2023-05-12;102.681;;;
2023-05-19;103.198;;;
2023-05-26;104.206;;;
2023-06-02;104.015;;;
2023-06-09;103.557;;;
2023-06-16;102.243;;;
2023-06-23;102.903;;;
2023-06-30;102.912;;;
2023-07-07;102.272;;;
2023-07-14;99.914;;;
2023-07-21;101.071;;;
2023-07-28;101.622;;;
2023-08-04;102.017;;;
2023-08-11;102.842;;;
2023-08-18;103.375;;;
2023-08-25;104.077;;;
2023-09-01;104.236;;;
2023-09-08;105.090;;;
2023-09-15;105.322;;;
2023-09-22;105.583;;;
2023-09-29;106.174;;;
2023-10-06;106.044;;;
2023-10-13;106.648;;;
2023-10-20;106.163;;;
2023-10-27;106.559;;;
2023-11-03;105.021;;;
2023-11-10;105.861;;;
2023-11-17;103.917;;;
2023-11-24;103.403;;;
2023-12-01;103.268;;;
2023-12-08;104.010;;;
2023-12-15;102.550;;;
2023-12-22;101.698;;;
2023-12-29;101.333;;;
2024-01-05;102.412;;;
2024-01-12;102.404;;;
2024-01-19;103.288;;;
2024-01-26;103.433;;;
2024-02-02;103.922;;;
2024-02-09;104.111;;;
2024-02-16;104.275;;;
2024-02-23;103.936;;;
2024-03-01;103.861;;;
2024-03-08;102.712;;;
2024-03-15;103.432;;;
2024-03-22;104.430;;;
2024-03-29;104.487;;;
2024-04-05;104.298;;;
2024-04-12;106.038;;;
2024-04-19;106.154;;;
2024-04-26;105.938;;;
2024-05-03;105.030;;;
2024-05-10;105.301;;;
2024-05-17;104.445;;;
2024-05-24;104.724;;;
2024-05-31;104.671;;;
2024-06-07;104.885;;;
2024-06-14;105.550;;;
2024-06-21;105.796;;;
2024-06-28;105.866;;;
2024-07-05;104.875;;;
2024-07-12;104.093;;;
2024-07-19;104.396;;;
2024-07-26;104.316;;;
2024-08-02;103.208;;;
2024-08-09;103.135;;;
2024-08-16;102.463;;;
2024-08-23;100.718;;;
2024-08-30;101.698;;;
2024-09-06;101.177;;;
2024-09-13;101.114;;;
2024-09-20;100.723;;;
2024-09-27;100.381;;;
2024-10-04;102.520;;;
2024-10-11;102.890;;;
2024-10-18;103.493;;;
2024-10-25;104.257;;;
2024-11-01;104.282;;;
2024-11-08;104.997;;;
2024-11-15;106.687;;;
2024-11-22;107.554;;;
2024-11-29;105.737;;;
2024-12-06;106.055;;;
2024-12-13;107.003;;;
2024-12-20;107.621;;;
2024-12-27;107.998;;;
2025-01-03;108.952;;;
2025-01-10;109.650;;;
2025-01-17;109.347;;;
2025-01-24;107.443;;;
2025-01-31;108.370;;;
2025-02-07;108.040;;;
2025-02-14;106.710;;;
2025-02-21;106.612;;;
2025-02-28;107.614;;;
2025-03-07;103.838;;;
2025-03-14;103.718;;;
2025-03-21;104.088;;;
2025-03-28;104.044;;;
2025-04-04;103.023;;;
2025-04-11;100.102;;;
2025-04-18;99.230;;;
2025-04-25;99.471;;;
2025-05-02;100.030;;;
2025-05-09;100.339;;;
2025-05-16;101.092;;;
2025-05-23;99.112;;;
2025-05-30;99.329;;;
2025-06-06;99.190;;;
2025-06-13;98.184;;;
2025-06-20;98.707;;;
2025-06-27;97.401;;;
2025-07-04;97.180;;;
2025-07-11;97.853;;;
2025-07-18;98.482;;;
2025-07-25;97.645;;;
2025-08-01;99.141;;;
2025-08-08;98.180;;;
2025-08-15;97.852;;;
2025-08-22;97.716;;;
2025-08-29;97.771;;;
2025-09-05;97.768;;;
2025-09-12;97.550;;;
2025-09-19;97.644;;;
2025-09-26;98.152;;;
2025-10-03;97.723;;;
2025-10-10;98.978;;;
2025-10-17;98.433;;;
2025-10-24;98.952;;;
2025-10-31;99.804;;;
2025-11-07;99.603;;;
2025-11-14;99.299;;;
2025-11-21;100.180;;;
2025-11-28;99.459;;;
2025-12-05;98.992;;;
2025-12-12;98.399;;;
2025-12-19;98.599;;;
2025-12-26;98.022;;;
2026-01-02;98.424;;;
2026-01-09;99.133;;;
2026-01-16;99.354;99.354;99.354;99.354
2026-01-31;;98.903;99.236;98.736
2026-02-28;;98.451;99.118;98.118
2026-03-31;;98.000;99.000;97.500
2026-04-30;;97.967;99.200;97.067
2026-05-31;;97.933;99.400;96.633
2026-06-30;;97.900;99.600;96.200
2026-07-31;;97.600;99.933;95.833
2026-08-31;;97.300;100.267;95.467
2026-09-30;;97.000;100.600;95.100
2026-10-31;;97.033;101.000;94.900
2026-11-30;;97.067;101.400;94.700
2026-12-31;;97.100;101.800;94.500
2027-01-31;;96.875;101.850;93.892
2027-02-28;;96.650;101.900;93.283
2027-03-31;;96.425;101.950;92.675
2027-04-30;;96.200;102.000;92.067
2027-05-31;;95.975;102.050;91.458
2027-06-30;;95.750;102.100;90.850
2027-07-31;;95.525;102.150;90.242
2027-08-31;;95.300;102.200;89.633
2027-09-30;;95.075;102.250;89.025
2027-10-31;;94.850;102.300;88.417
2027-11-30;;94.625;102.350;87.808
2027-12-31;;94.400;102.400;87.200
